,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,0.17629629671573638,0.17629629671573638,0.15981481224298477,0.13111111149191856,0.15981481224298477,0.13111111149191856,0.13111111149191856,0.13250000402331352,0.13277777954936026,0.13305556103587152,0.15981481224298477,0.13111111149191856,0.17185185179114343,0.16074074134230615
Insertion,0.8252777814865112,0.825,0.8806018710136414,0.9399999976158142,0.8810648441314697,0.948888897895813,0.9118518710136414,0.930046284198761,0.9280555486679077,0.9305092334747315,0.8796759486198426,0.9362037181854248,0.8730092763900756,0.8827777743339539
MuFidelity,-0.06532822588046941,-0.03539059973369597,-0.0010890748380924854,0.5147241346632911,0.7158488687454452,0.6132060777125102,0.7679187592754175,0.5939929685551668,0.6704370361398841,0.6576227389749704,-0.0027470594443417306,0.019946953784785466,-0.001280966893343015,0.008152694885409695
CosSim,0.09085248843227707,0.09085248889684848,0.47817023020479654,0.6039953973319233,0.8098014494775654,0.6862047236847558,0.881679866744741,0.7734228066937656,0.6441214129214732,0.6187039066831763,0.266469993619471,0.08332761632956,0.21931495550457963,0.20731413784313033
SSIM,0.3896056704967889,0.38960566905826255,0.8660737061817294,0.9572498861948648,0.9794944442311924,0.9638278496265412,0.9846214718619983,0.9678636614481608,0.961315301110347,0.958226496775945,0.8327206022451812,0.0025712291679002726,0.4023779835981779,0.32773429028149825
Conciseness,0.5317354681069956,0.5317354681069956,0.9878144290123462,0.9930658436213988,0.9977659893689991,0.9945649005486972,0.9973405349794243,0.9869579475308644,0.9868407064471881,0.9870874056927301,0.9644669495884773,0.0,0.08045331790123456,0.08826517489711934
F1,0.03219494776525956,0.03219494776525956,0.5593247368497161,0.5399068476538189,0.7666354561660373,0.6372196381778285,0.8495301930081425,0.3051376066606905,0.2961729674798381,0.3043742225840199,0.19528628305599965,0.027243086069401422,0.01973842284155585,0.01938287818637032
MAE,0.21733295692686588,0.21733295725974955,0.010190972222309023,0.0045584705075985945,0.0013072273663616684,0.003489154663977195,0.0010061501463794417,0.0029531459922361295,0.003120831482189152,0.0036414161887718564,0.02931391460914031,0.6049202413642549,0.175858591882648,0.19573622225047757
IoU,0.016553925250731544,0.016553925250731544,0.42509360561924137,0.3912120466606517,0.7306969275684527,0.49377478611484893,0.8179654460869713,0.184763208951859,0.17940285910119633,0.1846468995530885,0.1108801886861442,0.014028420781892998,0.010023102349192164,0.009841511461679896
PR,0.03519371241475121,0.03519371241475121,0.49183333333333357,0.4032202380952383,0.8555555555555555,0.5181428571428575,0.925,0.2005825784309147,0.19206350913483541,0.19566066229200924,0.14029228333395,0.014028420781892998,0.02471669891220362,0.024535108024691353
RE,0.8260453740252238,0.8260453740252238,0.7307392640812462,0.888064018983207,0.7307392640812462,0.8691693236050557,0.8179788474145795,0.8540663602307109,0.8494791335867408,0.8507944892836754,0.5533382807712557,1.0,0.9203064034369886,0.9119730701036552
EBPG,0.04481761790094121,0.04481761798281998,0.5386904958387216,0.43882441831131774,0.8555555557459593,0.5650000216066837,0.9250000001490116,0.5291583602968604,0.5700080534629524,0.5088013597950339,0.1432861714437604,0.018340868662732344,0.08174503841515009,0.05623916203117309
RRA,0.3777267448646125,0.3777267448646125,0.9847619047619048,0.9664855567226891,1.0,0.9942857142857143,1.0,0.8879097951680672,0.8895330590569561,0.8854159955648925,0.5043803979925303,0.2167356521134094,0.346733806022409,0.3577134687208217
cpa!=,0.04386390861200475,0.04386390873207714,0.5408928571428573,0.44060904170315124,0.8683333332733334,0.5607417581984249,0.9349999999566666,0.5970350731990239,0.6615692364420613,0.5931470806112006,0.144006219225709,0.01416092617544037,0.14742649410011213,0.101770870423145
