,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,4.375181198120118,2.435162663459778,2.2659913698832193,2.200457056363424,2.2790195544560747,2.27852205435435,2.3793474833170576,2.1359777450561523,2.1361490090688067,2.1966675917307534,2.500256498654683,2.4096433321634927,2.201068202654521,2.265392541885376
Insertion,2.1352211634318037,2.0705447594324746,2.070716420809428,2.150606910387675,2.1788992484410605,2.0700889825820923,2.331005930900574,2.2008371353149414,2.265491684277852,2.3045170307159424,2.0701227585474653,2.135249972343445,2.0707486073176065,2.1394383907318115
MuFidelity,36.61146243413289,35.027483701705926,34.86050883928935,25.720547437667847,25.76542278130849,25.874048272768658,25.448867281277977,25.625009338061012,25.5842532714208,25.620861252148945,34.58778480688731,34.75742061932882,34.6386303504308,34.63170727094014
CosSim,0.0650991996129354,0.0651468833287557,0.0,0.03906369209289551,0.10420699914296469,0.0,0.0,0.0,0.10417461395263672,0.0,0.0,0.14333724975585938,0.14329632123311362,0.0
SSIM,0.3514796495437622,0.37747899691263836,0.3514667352040609,1.0805716117223105,1.1096924543380737,1.1847188075383503,1.18473490079244,1.118247906366984,1.08059823513031,1.1854606866836548,0.36157230536142987,0.35165131092071533,0.3514031569163004,0.3514093160629273
Conciseness,0.0,0.03906369209289551,0.0,0.039095282554626465,0.0,0.0,0.0,0.13542731602986655,0.03906965255737305,0.0,0.005137324333190918,0.0,0.0,0.0
F1,1.249886155128479,1.249879797299703,1.184760332107544,1.566271185874939,1.5362834930419922,1.6028217474619546,1.4712063471476238,1.6013856728871663,1.6018110513687134,1.5362948179244993,1.1067291100819905,1.2899734576543174,1.2889321645100913,1.145720680554708
MAE,0.2083518107732137,0.2083359162012736,0.2743868033091227,0.14323651790618896,0.20834048589070636,0.27344644069671636,0.14318724473317465,0.2734373013178507,0.2734597524007162,0.14319062232971191,0.14323731263478598,0.14328479766845703,0.20833770434061685,0.14324108759562174
IoU,1.1196672916412354,1.0415556033452353,1.0160132249196372,1.627444823582967,1.536877155303955,1.4972265561421714,1.5622286001841226,1.4712083339691162,1.4972490072250366,1.458081603050232,1.081187923749288,1.145750085512797,1.119672457377116,1.1717486381530762
PR,1.120053728421529,1.2238713105519614,0.9764552116394043,1.6014317671457927,1.601426402727763,1.6013910373051963,1.6023955742518108,1.497193773587545,1.471175948778788,1.570088267326355,1.0170676310857136,1.0806035995483398,1.1848032474517824,1.1215694745381672
RE,1.080635984738668,1.1848100026448567,1.0805463790893555,1.5311729907989502,1.5555532773335776,1.603428324063619,1.537853479385376,1.5371716022491455,1.4325487613677979,1.5363341569900513,1.1091250181198122,1.1200515429178872,1.120786468187968,1.250853141148885
EBPG,0.07814407348632812,0.14326930046081543,0.03909409046173096,0.06513098875681558,0.0,0.0,0.03906667232513428,0.10420739650726318,0.10417799154917398,0.0,0.07816612720489502,0.1433032751083374,0.06517171859741211,0.0
RRA,0.06510217984517416,0.06510217984517416,0.1041632890701294,0.10417501131693521,0.039075613021850586,0.039067864418029785,0.039063096046447754,0.10418315728505453,0.0,0.0,0.06510416666666666,0.0,0.0,0.10418176651000977
cpa!=,0.14319777488708496,0.0780707597732544,0.16923129558563232,0.20828227202097577,0.2083041270573934,0.20832061767578125,0.2734053134918213,0.2082328001658122,0.14320552349090576,0.1692366600036621,0.14317254225413004,0.21221697330474854,0.14315823713938394,0.21009822686513263
cpl!=,0.10415434837341309,0.23435354232788086,0.10416110356648764,0.14321486155192056,0.06508231163024902,0.07811963558197021,0.039061903953552246,0.039064884185791016,0.16925513744354248,0.039060115814208984,0.1301795244216919,0.06508529186248779,0.15361209710439047,0.03906846046447754
cor!=,0.1822960376739502,0.1171654462814331,0.20831684271494547,0.2734154462814331,0.3124773502349854,0.2734231948852539,0.27340829372406006,0.28642237186431885,0.31246383984883624,0.24737894535064697,0.22134502728780112,0.35154958566029865,0.20831584930419922,0.2733888228734334
cpa>,0.27340590953826904,0.2734227975209554,0.20831545193990073,0.20831922690073648,0.1432245969772339,0.20832180976867676,0.23435374101003012,0.1432319482167562,0.1041632890701294,0.2083261807759603,0.20831445852915448,0.03904998302459717,0.29417177041371667,0.2083317438761393
cpl>,0.0,0.03905773162841797,0.10416189829508463,0.1432142655054728,0.169257918993632,0.1432253917058309,0.039063096046447754,0.10416150093078613,0.16926348209381104,0.0390547513961792,0.0,0.169257918993632,0.04952430725097656,0.10415534178415933
cor>,0.3130976359049479,0.2734023332595825,0.20833412806193036,0.27341584364573157,0.24735669294993082,0.2733977635701497,0.3124632438023885,0.3124509255091349,0.31246264775594074,0.24736563364664713,0.312464435895284,0.1822755734125773,0.2739433447519938,0.2473670244216919
cpa<,0.16928315162658691,0.2734118700027466,0.1041571299235026,0.16924719015757242,0.14323016007741293,0.20831485589345294,0.20830889542897543,0.2083200216293335,0.07813155651092529,0.23436347643534344,0.16925454139709473,0.23438672224680582,0.1432343324025472,0.07811844348907471
cpl<,0.039060115814208984,0.039060115814208984,0.10414322217305502,0.10416269302368164,0.1302093267440796,0.14321605364481607,0.10416467984517416,0.10416348775227866,0.10416050752003989,0.039063096046447754,0.07811963558197021,0.07811963558197021,0.16925275325775146,0.1301934321721395
cor<,0.2734057108561198,0.3124731779098511,0.20831704139709473,0.2473759651184082,0.24737079938252768,0.273428757985433,0.3124755620956421,0.31248152256011963,0.24811784426371256,0.35152018070220953,0.2736357847849528,0.27336935202280677,0.20831088225046793,0.18226981163024902
cor_nosign,0.1822735865910848,0.07811784744262695,0.31310737133026123,0.27385731538136804,0.20830929279327393,0.2864120403925578,0.2734102805455526,0.24736881256103516,0.31247754891713464,0.2738042672475179,0.2080825964609782,0.31246582667032874,0.18227696418762207,0.24737894535064697
cor_sign,0.4556916157404582,0.5598501364390056,0.45569618542989093,0.5598515272140504,0.5207786957422893,0.631442666053772,0.4947425921758016,0.5598310629526775,0.5598499377568562,0.45569002628326416,0.45568784077962243,0.3905930121739706,0.5468297004699707,0.5207918087641399
