,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,0.16987500488758087,0.17004167139530182,0.15100000351667403,0.1260000042617321,0.15100000351667403,0.1260000042617321,0.1260000042617321,0.1260000042617321,0.1260000042617321,0.12800000235438347,0.15100000351667403,0.1260000042617321,0.1691666714847088,0.15966667011380195
Insertion,0.8361666798591614,0.8352916359901428,0.8848333358764648,0.9517500042915344,0.8852499961853028,0.9540000081062316,0.9200416684150696,0.9393333196640015,0.9387083411216736,0.9340000152587891,0.881291675567627,0.9383749961853027,0.8709999918937683,0.8769583582878113
MuFidelity,-0.028409118728932682,-0.06390626218713813,0.014668790308524008,0.5198291656621009,0.7148856541485096,0.6048374953676857,0.7673897345546856,0.587042848129236,0.6474931699160567,0.643721046323853,-0.018609587989368855,-0.028107839669411196,-0.0070658637563457884,-0.008191669496776993
CosSim,0.09469916157284394,0.09469916119386065,0.4778347142979159,0.6038442147914659,0.8076467059363065,0.683932273647199,0.8790019718993356,0.7762245252817424,0.6493477805914323,0.6143576773550508,0.2672000564623136,0.083584600682538,0.21919136137759015,0.20772185635429602
SSIM,0.3973610596812932,0.39736106038341323,0.8666961003105053,0.9572719712058703,0.9794292010366916,0.9636924663186074,0.9847747221589088,0.9682752707600593,0.9613861166934171,0.9574698462585609,0.8313474935991693,0.002589818566171475,0.40413245200940706,0.3256924074157551
Conciseness,0.5410641718106994,0.5410641718106994,0.9879044495884777,0.9930658436213988,0.997783136145405,0.9945348936899867,0.9973233882030185,0.9867723336762693,0.986408179012346,0.9870591135116602,0.9644669495884773,0.0,0.07840406378600821,0.07494212962962962
F1,0.0348990885320969,0.0348990885320969,0.5570935735249358,0.5396387803895071,0.7621201779567885,0.63654896219721,0.8462210551497711,0.3069432254630947,0.30428460084381764,0.30242692392787984,0.1897516509059243,0.027450877336578243,0.020240602567361574,0.020175412109565357
MAE,0.20887737028234765,0.20887736848718844,0.010210583847814425,0.0045687585734435,0.0013351980453710133,0.003527842078244598,0.001018234841550192,0.002937435129202995,0.0031508807779346685,0.0036975569661044593,0.02925315072024241,0.602567924975222,0.175242262854115,0.2025704149580741
IoU,0.018004353016948207,0.018004353016948207,0.4225518619152571,0.39133535967080896,0.7245596289172328,0.4932479412756695,0.8141429622505661,0.18588795680098735,0.18480776528219314,0.1834422538540096,0.10710502666278003,0.014135802469135797,0.01028440265315253,0.01025088309463309
PR,0.04195473888850161,0.04195473888850161,0.49766666666666703,0.40292857142857147,0.8574999999999999,0.5173095238095241,0.9241666666666666,0.20153592935853407,0.1969763427227345,0.19712609155125263,0.1418341978237812,0.014135802469135797,0.0200277325214824,0.019994212962962957
RE,0.8249990451222068,0.8249990451222068,0.7246624438150171,0.8846751655703862,0.7246624438150171,0.8680280192118426,0.8141589715927949,0.8588404432520628,0.8613961232024394,0.8476621385375738,0.5412435741838317,1.0,0.9252566701316702,0.9252566701316702
EBPG,0.05210825210534191,0.05210825206071603,0.544523829172055,0.438876501818498,0.8575000002483527,0.5641666882485151,0.9241666667908429,0.531861906821529,0.577796516045928,0.5074906661206235,0.14468347690378627,0.018485652760912973,0.0774075650012431,0.052065250419545926
RRA,0.3641147875816993,0.3642130018674136,0.9926190476190477,0.9629023984593837,1.0,0.9985714285714286,1.0,0.8916695553221288,0.8832878588935573,0.8792481763538749,0.486048085901027,0.21806098272642388,0.3317956212653388,0.3423048944565973
cpa!=,0.0514593597045979,0.05145935993640159,0.5467261904761906,0.4377884138631929,0.8741666665766668,0.5571352258452259,0.9324999999599999,0.600517421777437,0.6718464474594191,0.5910386048966398,0.14940938626224728,0.014396225217294136,0.14286722857819736,0.09721244590391889
cpl!=,0.6177640418973539,0.6177640414782221,0.7125860117164257,0.7293346695128775,0.85449993561932,0.7223826387005526,0.9110563079638139,0.7776433229192935,0.8110430824980049,0.8091230842676881,0.714191294454521,0.6651337295562754,0.7571614260814097,0.766744986078513
cor!=,0.33461170080097585,0.33461170070731183,0.6296561010963082,0.5835615416880352,0.8643333010979933,0.6397589322728893,0.9217781539619068,0.6890803723483653,0.7414447649787121,0.7000808445821638,0.4318003403583841,0.33976497738678474,0.45001432732980345,0.43197871599121607
cpa>,0.04359601347256913,0.04359601366240561,0.4016025641025641,0.5399810479415272,0.8741666665766668,0.691400312610313,0.9324999999599999,0.6985115009238261,0.5116425611366722,0.45104193023283956,0.1432997658337359,0.010108289236294924,0.09699992743234495,0.07864800652879327
cpl>,0.6175015068370324,0.6175015055522606,0.7336355409239774,0.7688147737282105,0.8353784311356179,0.7605369959504324,0.8982188448517222,0.7762276713774776,0.8023024836200149,0.8090295991896147,0.7400644430403797,0.7198853110776735,0.7611513763052407,0.7512872234967566
cor>,0.33054876015480084,0.3305487596073331,0.5676190525132708,0.6543979108348689,0.8547725488561422,0.7259686542803727,0.9153594224058612,0.7373695861506517,0.6569725223783436,0.6300357647112271,0.4416821044370578,0.3649968001569842,0.4290756518687928,0.4149676150127749
cpa<,1.0,1.0,1.0,0.36471346646934755,1.0,0.43745355218110654,1.0,0.46924701289627596,1.0,1.0,1.0,1.0,0.233160785985676,0.14914147218229418
cpl<,0.18969896952169282,0.18969897356960508,0.2891135912698413,0.6116395089285714,0.8913105158730161,0.6064181547619047,0.9290147641026785,0.7559143198869295,0.377138749996391,0.35985581369650743,0.5695654761904761,0.020013083878963712,0.6472872286702669,0.6337508066088433
cor<,0.5948494847608463,0.5948494867848025,0.6445567956349206,0.48817648769895944,0.9456552579365081,0.5219358534715056,0.9645073820513392,0.6125806663916027,0.6885693749981955,0.6799279068482538,0.7847827380952381,0.5100065419394818,0.44022400732797146,0.3914461393955688
cor_nosign,0.33461170080097585,0.33461170070731183,0.6296561010963082,0.5835615416880352,0.8643333010979933,0.6397589322728893,0.9217781539619068,0.6890803723483653,0.7414447649787121,0.7000808445821638,0.4318003403583841,0.33976497738678474,0.45001432732980345,0.43197871599121607
cor_sign,0.46269912245782363,0.4626991231960679,0.6060879240740957,0.5712871992669142,0.9002139033963251,0.6239522538759392,0.9399334022286002,0.6749751262711273,0.6727709486882695,0.6549818357797405,0.613232421266148,0.437501671048233,0.4346498295983821,0.4032068772041719
Time,10.06598750750224,9.37859793504079,7.007137934366862,10.158107082049051,0.273428757985433,10.287770827611286,23.525431752204895,13.183788061141968,12.865630189577738,12.984844048817953,27.801550229390465,428.27109674612683,81.96841061115266,25.98314146200816
